id,items
1,ADGHIJLOQRSTXYZ
2,ACFGHIJLNOQSVWXY
3,BSXHYIJO
4,CFJKLNOPRSWYZ
5,QSFWYMO
6,ASTYZO
7,QSYO
8,ACFGHIJKLMOQSUY
9,BRSUVXYMO
10,CEFKLMNOPSWYZ
11,ASTDEWGYIZJO
12,SYO
13,CEGHIKLNOQRSTWY
14,SWYMNO
15,BCDFIKLMNOSUWYZ
16,ADEIJLMORSTWXYZ
17,PSWXYKO
18,CDEFGNORSTWXY
19,QRSCFGWYINO
20,SDVHYLMO
21,SYNO
22,ABCDFLOPQRSVWXY
23,BSYNO
24,DFGHILNORSTXYZ
25,SVYO
26,PQSTFWYIZMNO
27,ASTDEYLMNO
28,SDEVYNO
29,PSWXYKNO
30,SCHYNO
31,SYO
32,SGHXYKO
33,SYILNO
34,BSYZO
35,PQSDEFGYZJMO
36,QSCTDEWYIKLO
37,SCDWYIKO
38,ARSDUFWYIZO
39,PSUGYO
40,PQSTVFYLMO
41,STEYO
42,SCEHYMO
43,QRSCDUXYLNO
44,PASUYZO
45,QSTXYJKNO
46,PQSDVGHYJKNO
47,RSWYZKLO
48,SYO
49,QSFYKMO
50,PSDYO
51,SYMO
52,CFHIMORSTUVXY
53,STDGXHYZJKMO
54,PSHYZKO
55,SEWXYMO
56,RSYZO
57,STWYO
58,SCYKMO
59,QSTDUFWYZJO
60,BSVGWYZJNO
61,PQBSCVWYJZNO
62,QSWYKO
63,PARSCDTUVYO
64,PQRBSCEYIJNO
65,SYIJO
66,BDEFGIKMNOPQRSTUY
67,SXYO
68,SFYO
69,PSEYKO
70,RSCGXYO
71,SYO
72,GHIJKMNOQSVWYZ
73,RSVYILO
74,PBSTUWYO
75,BCHIJLMNOPQSTUWXY
76,SYKO
77,STEYMO
78,PASCTFYIKO
79,ABCEHIKOPSVXY
80,STYINO
81,PSDEXHYZJKMO
82,BSDYZO
83,STGHYO
84,AQSCEFYIJNO
85,BDFGHMOQRSUVY
86,ABSDTGWXYIZO
87,BDFGIJNOQSVXYZ
88,PQSTXYKMO
89,ABCEFILMOQRSUXYZ
90,BSDYIZKO
91,QRSFYMO
92,PABSDTEFHYMO
93,ASDUFVWHXYJO
94,ABCEFGIJKLNOPQSTXY
95,RSCDUYJO
96,BDEINOPRSVWXYZ
97,EHJLOQSTUVWXY
98,ACDEFGIJLMORSTWY
99,PRSCEHYKMO
100,QSCYO
101,BEGJOPQSTUWXY
102,SYJO
103,SCVYIO
104,ARSDFWGYJZMO
105,SXYO
106,PSFHYLO
107,CDEGHIMNOQRSTY
108,ABEJKLOQSUXYZ
109,ABDHIJLNORSVXYZ
110,STEUFWYMO
111,PBSDEFGYZJNO
112,FGIJMNOPRSTUVY
113,PQABSYILMO
114,SYIZJLO
115,ACDEIJLORSVWXY
116,QARBSYJMNO
117,STEFVYIMNO
118,EFGIJKLOQRSTUY
119,BSFVHYJKLMO
120,PASHXYMO
121,BCDHJKLMNOQSUVXYZ
122,SHYLMO
123,ABSDUEGYJZLO
124,PRSDTWXYJKNO
125,SCFYZO
126,SYO
127,BCDEGHKLMOPRSTUY
128,ARSTDEHYZJMO
129,EGHJKLOPQSUVWYZ
130,SEFXYNO
131,SWXYLO
132,ASTEWHYJLMO
133,PRSCTEVFGYMO
134,ABSUEHYO
135,SCYO
136,PRSDEVWXYLO
137,BSFWYNO
138,BSFYO
139,PSDEFGYIJO
140,SCYJZO
141,PRSDEVWYJLO
142,FJLMOPRSTUVXY
143,ABCGHJLNOPSTVWY
144,PBSGXYO
145,ACDEFKLOQSTUWXYZ
146,BSUVGHXYJO
147,BCEFHIMNOPQSY
148,RSUFGWYIJKLO
149,QSDEVWXYINO
150,PSFYO
151,SDFGYO
152,PBSDEVGWHYO
153,ABCFKMOQSUWXY
154,BSYJNO
155,RSWHYJO
156,SWYO
157,SYO
158,QSEFWYIJMNO
159,BCDEJLMNORSTUWY
160,DEFJKLOPRSTYZ
161,QBSCTDVWHYO
162,EFHIJKMOSTWXY
163,BCEGHIKLOPQRSWXY
164,BCEFGNOPRSTVY
165,SYKO
166,DEHJLNOQRSTUVY
167,QSWYO
168,SDGXYIZKO
169,BSDTWYZLO
170,BSTDEFGYJO
171,PABSUYZO
172,ABDGHIJNOQSWYZ
173,SEYKNO
174,ASDUVFXYO
175,QSTVYZO
176,AFGJKNORSVWYZ
177,PARSTUEGYZLO
178,SYO
179,SCVFYJO
180,ASXYKO
181,SGYO
182,RBSCUHYZKLO
183,SYNO
184,ACDGHILNOPRSY
185,PARSUFYZLO
186,ACDEHLOSTUVYZ
187,BCDEGILMNOSTUVY
188,RBSTDWHXYZLO
189,PSEHYJLO
190,SYO
191,BCDEJOQRSUXYZ
192,PARSCEVHYO
193,PBSFVYZLO
194,ABCGIKNOSUWYZ
195,PQSCWXYJO
196,SHYMO
197,RBSCEFVXYLNO
198,BSTVGYJO
199,ABSDUWYJKLNO
200,RSYZJLNO
201,RSDUFHYIKNO
202,SFYIZO
203,RSVFYJKLO
204,SDEFVGXYNO
205,ABEGHKLMNOQSUWY
206,ASTYO
207,RBSTDEUHYJMO
208,BSEVFXYILO
209,PAQBRSHYZKNO
210,STDUVWGYZKO
211,PQSEVYZJO
212,SVHXYJKMO
213,BCDFGILMNOPQSVY
214,ASDUGYIZO
215,STVGYLNO
216,SVHYO
217,SVYO
218,ABCGLNOQSTVWXY
219,BEFGIJKNOPSTYZ
220,RSCDEWHXYO
221,ASUWYJO
222,ASCTUGWXYLMO
223,STVHYZO
224,SYO
225,PBSDUEHYIJMO
226,ABDEFGHJKMOPRSTUYZ
227,SYO
228,BSUHYNO
229,RSVFGHXYJZO
230,SYO
231,PRSCVFYZKO
232,CDFGHIKMOQSVWY
233,AEFGHJLOSVWYZ
234,QASCTUWGYIMO
235,ASCUGHYIZLO
236,BSTDEYO
237,BSCTUXYJNO
238,ABSCUEYZLNO
239,SEWYZNO
240,AEGHIJKNOQSXYZ
241,BSCUWYMO
242,AEGHJKLNOPSTVY
243,PRSVHYO
244,ASFGYINO
245,QSDUVFGXYIMO
246,STVYZO
247,PBRSYJNO
248,PSUWYIJKLMO
249,ACHJKMOPSUVXY
250,QSFXYIJNO
251,BDFIJKMOQSUVXYZ
252,ACEFGHLNOPQSWXYZ
253,QSYLO
254,PSTGYO
255,ABSTVXYJLMO
256,BCEHJNOSUVWYZ
257,PQBSVXYJMNO
258,FHJLNOPQRSUVXY
259,PABRSUGWXYO
260,SYO
261,QSTXYLO
262,SYO
263,BCKLMOPQSTUXYZ
264,SCDWYMO
265,RSCWXYO
266,SCDUEGYJZLMO
267,ADFJLMORSUWXY
268,ASDUFWXYNO
269,BSUHYINO
270,QBSYILO
271,SCYO
272,PSFVWHYJZNO
273,RSCDWHYIJKLO
274,SUVYJKO
275,DEHILMNOPSVWYZ
276,SCWYO
277,SYIMO
278,BSTYMO
279,SYO
280,SXYO
281,PSYLNO
282,BCEGILOPRSTUVWXY
283,ACDEFKLOPQRSUY
284,SYO
285,BSCDUEGWXYO
286,CDFJLNORSTUWYZ
287,QSEFGHYO
288,ARSEFHYNO
289,ASYKNO
290,QBSUEFWYZMO
291,ACFIKLMORSTVY
292,STFYZNO
293,BSYO
294,QSCEVWHYO
295,QBSCVXYKMO
296,ARSTUFYIJKMO
297,SCDUVGHYO
298,QSYIZO
299,PARSCUHYO
300,SCTWXYKO
301,BSCDEGXYILO
302,QSCYIJMO
303,PSCEFVGXYLO
304,AQSDYIO
305,ASCDYNO
306,SUGHYO
307,RSCEYZLMNO
308,PBSXYJNO
309,QSTEUYILMO
310,ACDHJMNOSUWXYZ
311,SYO
312,SGYLO
313,CDEHIJMOQRSWXYZ
314,BFGIJLMOPQSTY
315,ACFGIJKNORSTYZ
316,SGYO
317,ARSVFWYMO
318,FGHLNOQSTVXYZ
319,SYIJKO
320,BFJKMNORSTVWXY
321,BSUFHYIJZMO
322,SUVGYZKLMO
323,BSDEVXHYZJO
324,PABSYZMO
325,SFYO
326,ACEGHILMOSTVY
327,BCFKNOQSTUWYZ
328,SCTUFGHYIKMO
329,ABSYZO
330,PSFGWYZKO
331,BSCTDEUWHYJO
332,EFHIKNOPRSTXY
333,STUVFWHXYMNO
334,SEYO
335,PQSFWXYILNO
336,SCYNO
337,CEGHJKLORSUXYZ
338,SFWYZKMO
339,PASCDEHXYMO
340,BSCUEYMO
341,SYLO
342,BSCTDEUYIMO
343,PSTEUVGXYLO
344,QSCUYINO
345,STYO
346,QSUFGXYIMO
347,AGHILMNOSTVXY
348,QSDWHYJKMO
349,ASFGHYIZJNO
350,BFGIJMNOPSTUWXYZ
351,BSYO
352,ABSUGHYZO
353,BFHIJKORSUVWY
354,PRSTUFVYKLNO
355,ACIJLMOPQRSTWY
356,DEFGHJKMNOPRSY
357,ABEFKLMOPQRSTWY
358,ASYO
359,AQRSHYNO
360,RSYNO
361,PASCUHYJO
362,BFHIJORSTVWXY
363,BEFIKNOPRSTWXY
364,RSYZO
365,DEFGHJKOQRSVWXYZ
366,RSCUVFWYO
367,BCDHIKLMNOQRSVYZ
368,PSYO
369,PSUYIJO
370,QSYLO
371,AQBSDWXYKNO
372,ABEFGHJKLMOSTXY
373,ASTUFYJZKNO
374,PARSCEGWYIMO
375,CDEFGHIOQSTYZ
376,PSTUVHYIZLO
377,BCDEFIJMORSTWY
378,SCEWYIZKMO
379,ACDEFGHJKNOPQSTVWYZ
380,SDGYLO
381,QBSCTEWYZMNO
382,FHIKLMNOQSWXY
383,ACHJNOQRSUVXY
384,SYO
385,QSEFGYKLMO
386,BDEGHKOSTWXYZ
387,QBSXYMO
388,PBSTEUWYJKMO
389,RSEGYIZKMNO
390,BDGIJMNORSUVXYZ
391,SYMO
392,QASTFVGHYLMO
393,ABSDEHYZLMO
394,CILMOPQSTUWYZ
395,SUYZO
396,SFYMNO
397,DEFHKLMNOQSYZ
398,PBSTDEHXYLO
399,SVFHYO
400,BDFHIJMOPRSTYZ
401,ABEGHJKLMOQTWZ
402,PADTFGHXZMN
403,PARUHIKLM
404,AEHMN
405,ACEFHJLMNPQRSUVXY
406,ABCDEGHKLMOUVWX
407,ABCHYJKM
408,AQRCEHXYLMNO
409,ABUVHXMN
410,ABCEGHJKLMSXZ
411,AQCDTGHJM
412,AHXZLMN
413,ARDGWHILMO
414,ABGHIKMNPQRSZ
415,ABSEGWHYLM
416,PAHM
417,AQDWHXIM
418,AQCDVHXIJKM
419,AEGHIJLMNQSVYZ
420,ARBCTGHIJZMN
421,PAQRTEFHZLMO
422,AHM
423,PARTUHM
424,ADHJLMOPRSTVX
425,ACFHJKMORSUVY
426,AHXIM
427,ABCDUGHIZMO
428,AQCGHXZJLM
429,ACDEHJKMOPQRTUW
430,PAQCSVHXZKM
431,PAVHM
432,AQRBSTDUHLMN
433,ADFGHIJKMNQRVWXYZ
434,ACDTUVFWGHXM
435,ACDEGHKMNOPTUY
436,PACUHXM
437,PABSVGHXZJLM
438,ABDHIKMOQSTXY
439,ABDVGHYKM
440,AQHIM
441,AQEWGHIYLMO
442,AHIMNO
443,PABCDEWHYJMO
444,ADTGHIKMO
445,PATWHYILM
446,AGHIJMQRSTUVXY
447,ABTVWHXIJZM
448,AUHM
449,ACDEFGHJMNQRVXY
450,ABRTUGHZKM
451,AEFGHIMNPQSUVY
452,ADGHIKMNPRVXY
453,AHM
454,PABSUWHZM
455,PABHM
456,ACDTFHXLMO
457,ABDGHJMORSVWXZ
458,ARBVWHIYZKMO
459,AUHYLMO
460,AHM
461,AWHM
462,AQBHM
463,ACUHYKM
464,ACFHIJZKM
465,ARBCVHXZKMNO
466,PASDHXKMN
467,ACDGHIMPQSTUYZ
468,PATHZJM
469,ABEHMNOPQSTUW
470,AQEFGWHJMO
471,AHM
472,AHXMN
473,ADFGHLMOQSUVWYZ
474,ARTEFVHXJKM
475,AQBCUFGHXIMN
476,PABCTDEVWHM
477,ASDEFWGHXM
478,PABRUHXYZLM
479,ABCDEHMOPQRTUWX
480,AUVHXJZMN
481,AQBCVWHYZKMN
482,ACEFHJKMOPRSTVXYZ
483,ACEFHJKMNOPTU
484,ABCFHJKLMOPXZ
